"nll","delAIC","modname","parname","value","low","high"
3223.12021853079,8.78799260954838,"AVN","r46.52",0.922182297722422,0.805,1.08
3223.20058591738,8.9487273827217,"AVS","r46.52",0.904964766130885,0.8,1.03
3230.81848321595,16.1845219798797,"A","r53.59",0.928990369056939,0.815,1.065
3230.31294508437,19.1734457167076,"AG","r53.59",0.911080009298968,0.78,1.09
3227.73803699954,14.0236295470422,"AN","r53.59",0.916240349623654,0.8,1.06
3227.8174745713,14.1825046905788,"AS","r53.59",0.901325379067761,0.78,1.04
3226.05884642953,8.66524840702732,"AT","r53.59",0.920543025657986,0.81,1.055
3225.39955816839,11.3466718847449,"ATG","r53.59",0.909448004428064,0.77,1.09
3222.80851033499,6.16457621794689,"ATN","r53.59",0.909585048277543,0.795,1.05
3222.92381575422,6.39518705641967,"ATS","r53.59",0.889518141309972,0.77,1.03
3226.00654695918,10.5606494663298,"ATU","r53.59",0.924970593909772,0.81,1.065
3225.34019665154,13.2279488510421,"ATUG","r53.59",0.915269596897987,0.775,1.1
3222.7782049096,8.10396536716235,"ATUN","r53.59",0.913003996299597,0.795,1.06
3222.8929491361,8.33345382016705,"ATUS","r53.59",0.892862352675301,0.77,1.035
3220.20646646024,2.96048846845497,"ATUV","r53.59",0.936678902152467,0.82,1.075
3219.84879650222,6.24514855240159,"ATUVG","r53.59",0.92149312869336,0.785,1.105
3217.72477824585,1.99711203967854,"ATUVN","r53.59",0.925834036338589,0.805,1.075
3217.84883284251,2.24522123298266,"ATUVS","r53.59",0.909824431051061,0.785,1.055
3220.21471668702,0.976988922012424,"ATV","r53.59",0.93493939055452,0.82,1.07
3219.85771241926,4.26298038649384,"ATVG","r53.59",0.919190873904161,0.79,1.1
3217.72622222602,0,"ATVN","r53.59",0.925271015525018,0.805,1.07
3217.8502927543,0.248141056563327,"ATVS","r53.59",0.909012698064657,0.785,1.05
3230.79471042321,18.1369763943858,"AU","r53.59",0.932020231141764,0.815,1.07
3230.28639205487,21.120339657703,"AUG","r53.59",0.914759146697746,0.78,1.1
3227.7278074162,16.0031703803797,"AUN","r53.59",0.918214179982314,0.8,1.065
3227.8070487018,16.1616529515668,"AUS","r53.59",0.903435390543461,0.78,1.045
3225.49782909501,11.5432137379812,"AUV","r53.59",0.943420625283365,0.825,1.085
3225.22217369134,14.9919029306475,"AUVG","r53.59",0.920357125227991,0.795,1.105
3223.11915050076,10.7858565494807,"AUVN","r53.59",0.930798747152917,0.81,1.08
3223.19951890469,10.946593357351,"AUVS","r53.59",0.919392280526518,0.795,1.06
3225.49817944616,9.54391444028261,"AV","r53.59",0.943083682290791,0.83,1.08
3225.22247514289,12.9925058337594,"AVG","r53.59",0.919762692974898,0.795,1.1
3223.12021853079,8.78799260954838,"AVN","r53.59",0.931330185139712,0.815,1.075
3223.20058591738,8.9487273827217,"AVS","r53.59",0.920020029748983,0.795,1.06
3230.81848321595,16.1845219798797,"A","r60.66",0.930736483705865,0.795,1.09
3230.31294508437,19.1734457167076,"AG","r60.66",0.911007023708181,0.76,1.115
3227.73803699954,14.0236295470422,"AN","r60.66",0.951801237052524,0.775,1.155
3227.8174745713,14.1825046905788,"AS","r60.66",0.973943138775409,0.81,1.16
3226.05884642953,8.66524840702732,"AT","r60.66",0.920656774450426,0.79,1.08
3225.39955816839,11.3466718847449,"ATG","r60.66",0.907923752648271,0.75,1.11
3222.80851033499,6.16457621794689,"ATN","r60.66",0.934854165322739,0.76,1.14
3222.92381575422,6.39518705641967,"ATS","r60.66",0.95998840877303,0.8,1.15
3226.00654695918,10.5606494663298,"ATU","r60.66",0.92645425484919,0.79,1.09
3225.34019665154,13.2279488510421,"ATUG","r60.66",0.915141115964764,0.755,1.125
3222.7782049096,8.10396536716235,"ATUN","r60.66",0.938986824279708,0.76,1.15
3222.8929491361,8.33345382016705,"ATUS","r60.66",0.964428649191358,0.8,1.16
3220.20646646024,2.96048846845497,"ATUV","r60.66",0.957021740580244,0.815,1.13
3219.84879650222,6.24514855240159,"ATUVG","r60.66",0.939450632568951,0.78,1.155
3217.72477824585,1.99711203967854,"ATUVN","r60.66",0.963598318441109,0.78,1.18
3217.84883284251,2.24522123298266,"ATUVS","r60.66",0.992715387322177,0.825,1.185
3220.21471668702,0.976988922012424,"ATV","r60.66",0.954678893064127,0.815,1.12
3219.85771241926,4.26298038649384,"ATVG","r60.66",0.93654265299609,0.78,1.145
3217.72622222602,0,"ATVN","r60.66",0.962616876229433,0.78,1.175
3217.8502927543,0.248141056563327,"ATVS","r60.66",0.991475743992504,0.825,1.18
3230.79471042321,18.1369763943858,"AU","r60.66",0.934672018732089,0.795,1.1
3230.28639205487,21.120339657703,"AUG","r60.66",0.915618712231887,0.76,1.13
3227.7278074162,16.0031703803797,"AUN","r60.66",0.954227421441225,0.77,1.165
3227.8070487018,16.1616529515668,"AUS","r60.66",0.976544355346287,0.81,1.17
3225.49782909501,11.5432137379812,"AUV","r60.66",0.964199303987034,0.82,1.135
3225.22217369134,14.9919029306475,"AUVG","r60.66",0.938543666738773,0.79,1.155
3223.11915050076,10.7858565494807,"AUVN","r60.66",0.978037829755659,0.79,1.19
3223.19951890469,10.946593357351,"AUVS","r60.66",1.00354145247456,0.83,1.195
3225.49817944616,9.54391444028261,"AV","r60.66",0.96372433292048,0.825,1.13
3225.22247514289,12.9925058337594,"AVG","r60.66",0.93784257841567,0.79,1.15
3223.12021853079,8.78799260954838,"AVN","r60.66",0.979476015372536,0.795,1.185
3223.20058591738,8.9487273827217,"AVS","r60.66",1.00447049012273,0.835,1.19
3230.81848321595,16.1845219798797,"A","r67.73",1.00450756289417,0.82,1.225
3230.31294508437,19.1734457167076,"AG","r67.73",0.982248867787851,0.785,1.25
3227.73803699954,14.0236295470422,"AN","r67.73",1.03326727613446,0.785,1.325
3227.8174745713,14.1825046905788,"AS","r67.73",1.06915179599587,0.85,1.33
3226.05884642953,8.66524840702732,"AT","r67.73",0.995636363348867,0.815,1.215
3225.39955816839,11.3466718847449,"ATG","r67.73",0.980457261227517,0.775,1.245
3222.80851033499,6.16457621794689,"ATN","r67.73",1.01379978734526,0.775,1.31
3222.92381575422,6.39518705641967,"ATS","r67.73",1.05563392202316,0.84,1.32
3226.00654695918,10.5606494663298,"ATU","r67.73",1.00370747034882,0.815,1.235
3225.34019665154,13.2279488510421,"ATUG","r67.73",0.990208643559781,0.78,1.265
3222.7782049096,8.10396536716235,"ATUN","r67.73",1.01969970639646,0.775,1.325
3222.8929491361,8.33345382016705,"ATUS","r67.73",1.06193027028922,0.84,1.33
3220.20646646024,2.96048846845497,"ATUV","r67.73",1.05041384781426,0.855,1.29
3219.84879650222,6.24514855240159,"ATUVG","r67.73",1.03086700284171,0.82,1.315
3217.72477824585,1.99711203967854,"ATUVN","r67.73",1.05964979392392,0.805,1.375
3217.84883284251,2.24522123298266,"ATUVS","r67.73",1.10639057097924,0.875,1.385
3220.21471668702,0.976988922012424,"ATV","r67.73",1.04712039012602,0.855,1.28
3219.85771241926,4.26298038649384,"ATVG","r67.73",1.02693287256689,0.82,1.305
3217.72622222602,0,"ATVN","r67.73",1.05824619482497,0.805,1.365
3217.8502927543,0.248141056563327,"ATVS","r67.73",1.10472472658622,0.875,1.375
3230.79471042321,18.1369763943858,"AU","r67.73",1.0099603302658,0.82,1.24
3230.28639205487,21.120339657703,"AUG","r67.73",0.988476255739203,0.785,1.265
3227.7278074162,16.0031703803797,"AUN","r67.73",1.03674219727616,0.785,1.335
3227.8070487018,16.1616529515668,"AUS","r67.73",1.07265686836135,0.85,1.34
3225.49782909501,11.5432137379812,"AUV","r67.73",1.05542917930741,0.855,1.3
3225.22217369134,14.9919029306475,"AUVG","r67.73",1.0273172156647,0.825,1.315
3223.11915050076,10.7858565494807,"AUVN","r67.73",1.07563369116266,0.815,1.385
3223.19951890469,10.946593357351,"AUVS","r67.73",1.11572749130852,0.88,1.39
3225.49817944616,9.54391444028261,"AV","r67.73",1.05466882407963,0.86,1.29
3225.22247514289,12.9925058337594,"AVG","r67.73",1.02631054012059,0.83,1.305
3223.12021853079,8.78799260954838,"AVN","r67.73",1.07792353190599,0.82,1.38
3223.20058591738,8.9487273827217,"AVS","r67.73",1.11699158572993,0.885,1.385
3230.81848321595,16.1845219798797,"A","r74.80",1.01529804994742,0.745,1.355
